ensg	entr	hgnc	symb	synonym1	synonym2
ENSG00000121410	1	HGNC:5	A1BG		
ENSG00000268895	503538	HGNC:37133	A1BG-AS1	FLJ23569	NCRNA00181
ENSG00000268895	503538	HGNC:37133	A1BG-AS1	FLJ23569	A1BGAS
ENSG00000268895	503538	HGNC:37133	A1BG-AS1	FLJ23569	A1BG-AS
ENSG00000148584	29974	HGNC:24086	A1CF	ACF	
ENSG00000148584	29974	HGNC:24086	A1CF	ASP	
ENSG00000148584	29974	HGNC:24086	A1CF	ACF64	
ENSG00000148584	29974	HGNC:24086	A1CF	ACF65	
ENSG00000148584	29974	HGNC:24086	A1CF	APOBEC1CF	
ENSG00000175899	2	HGNC:7	A2M	FWP007	
ENSG00000175899	2	HGNC:7	A2M	S863-7	
ENSG00000175899	2	HGNC:7	A2M	CPAMD5	
ENSG00000245105	144571	HGNC:27057	A2M-AS1		
ENSG00000166535	144568	HGNC:23336	A2ML1	FLJ25179	CPAMD9
ENSG00000166535	144568	HGNC:23336	A2ML1	p170	CPAMD9
ENSG00000256661	100874108	HGNC:41022	A2ML1-AS1		
ENSG00000256904	106478979	HGNC:41523	A2ML1-AS2		
ENSG00000256069	3	HGNC:8	A2MP1		A2MP
ENSG00000184389	127550	HGNC:30005	A3GALT2	IGBS3S	A3GALT2P
ENSG00000184389	127550	HGNC:30005	A3GALT2	IGB3S	A3GALT2P
ENSG00000128274	53947	HGNC:18149	A4GALT	A14GALT	P1
ENSG00000128274	53947	HGNC:18149	A4GALT	Gb3S	P1
ENSG00000128274	53947	HGNC:18149	A4GALT	P(k)	P1
ENSG00000118017	51146	HGNC:17968	A4GNT	alpha4GnT	
ENSG00000094914	8086	HGNC:13666	AAAS		
ENSG00000081760	65985	HGNC:21298	AACS	FLJ12389	
ENSG00000081760	65985	HGNC:21298	AACS	SUR-5	
ENSG00000081760	65985	HGNC:21298	AACS	ACSF1	
ENSG00000250420	729522	HGNC:18226	AACSP1		AACSL
ENSG00000114771	13	HGNC:17	AADAC	DAC	
ENSG00000114771	13	HGNC:17	AADAC	CES5A1	
ENSG00000197953	344752	HGNC:24427	AADACL2	MGC72001	
ENSG00000242908	101928142	HGNC:50301	AADACL2-AS1		
ENSG00000188984	126767	HGNC:32037	AADACL3	OTTHUMG00000001887	
ENSG00000204518	343066	HGNC:32038	AADACL4	OTTHUMG00000001889	
ENSG00000240602	201651	HGNC:50305	AADACP1		
ENSG00000109576	51166	HGNC:17929	AADAT	KATII	
ENSG00000109576	51166	HGNC:17929	AADAT	KAT2	
ENSG00000109576	51166	HGNC:17929	AADAT	KYAT2	
ENSG00000103591	79719	HGNC:25662	AAGAB	FLJ11506	
ENSG00000103591	79719	HGNC:25662	AAGAB	p34	
ENSG00000115977	22848	HGNC:19679	AAK1	KIAA1048	
ENSG00000115977	22848	HGNC:19679	AAK1	DKFZp686K16132	
ENSG00000087884	28971	HGNC:30205	AAMDC	PTD015	C11orf67
ENSG00000087884	28971	HGNC:30205	AAMDC	FLJ21035	C11orf67
ENSG00000087884	28971	HGNC:30205	AAMDC	CK067	C11orf67
ENSG00000127837	14	HGNC:18	AAMP		
ENSG00000129673	15	HGNC:19	AANAT	SNAT	
ENSG00000131043	25980	HGNC:15886	AAR2	bA234K24.2	C20orf4
ENSG00000205002	441376	HGNC:33842	AARD	LOC441376	C8orf85
ENSG00000090861	16	HGNC:20	AARS1	CMT2N	AARS
ENSG00000090861	16	HGNC:20	AARS1	AlaRS	AARS
ENSG00000249038	106480683	HGNC:49894	AARS1P1		AARSP1
ENSG00000124608	57505	HGNC:21022	AARS2	KIAA1270	AARSL
ENSG00000124608	57505	HGNC:21022	AARS2	bA444E17.1	AARSL
ENSG00000266967	80755	HGNC:28417	AARSD1	MGC2744	
ENSG00000266967	80755	HGNC:28417	AARSD1	AlaXp	
ENSG00000234969	117981788	HGNC:54994	AARSD1P1		
ENSG00000157426	132949	HGNC:23993	AASDH	NRPS998	
ENSG00000157426	132949	HGNC:23993	AASDH	LYS2	
ENSG00000157426	132949	HGNC:23993	AASDH	ACSF4	
ENSG00000149313	60496	HGNC:14235	AASDHPPT	LYS5	
ENSG00000149313	60496	HGNC:14235	AASDHPPT	CGI-80	
ENSG00000149313	60496	HGNC:14235	AASDHPPT	AASD-PPT	
ENSG00000149313	60496	HGNC:14235	AASDHPPT	ACPS	
ENSG00000008311	10157	HGNC:17366	AASS	LORSDH	
ENSG00000008311	10157	HGNC:17366	AASS	LKRSDH	
ENSG00000215458	284837	HGNC:51526	AATBC		
ENSG00000275700	26574	HGNC:19235	AATF	DED	
ENSG00000275700	26574	HGNC:19235	AATF	CHE-1	
ENSG00000275700	26574	HGNC:19235	AATF	CHE1	
ENSG00000275700	26574	HGNC:19235	AATF	BFR2	
ENSG00000181409	9625	HGNC:21	AATK	AATYK	
ENSG00000181409	9625	HGNC:21	AATK	KIAA0641	
ENSG00000181409	9625	HGNC:21	AATK	LMTK1	
ENSG00000181409	9625	HGNC:21	AATK	LMR1	
ENSG00000181409	9625	HGNC:21	AATK	AATYK1	
ENSG00000181409	9625	HGNC:21	AATK	PPP1R77	
	17	HGNC:22	AAVS1	AAV	
ENSG00000281376	103021294	HGNC:49667	ABALON	INXS	
ENSG00000183044	18	HGNC:23	ABAT	GABAT	
ENSG00000183044	18	HGNC:23	ABAT	GABA-T	
ENSG00000165029	19	HGNC:29	ABCA1	TGD	ABC1
ENSG00000165029	19	HGNC:29	ABCA1	TGD	HDLDT1
ENSG00000107331	20	HGNC:32	ABCA2		ABC2
ENSG00000167972	21	HGNC:33	ABCA3	ABC-C	ABC3
ENSG00000167972	21	HGNC:33	ABCA3	EST111653	ABC3
ENSG00000167972	21	HGNC:33	ABCA3	LBM180	ABC3
ENSG00000257408	342293	HGNC:55707	ABCA3P1		
ENSG00000198691	24	HGNC:34	ABCA4	FFM	STGD1
ENSG00000198691	24	HGNC:34	ABCA4	FFM	ABCR
ENSG00000198691	24	HGNC:34	ABCA4	FFM	RP19
ENSG00000198691	24	HGNC:34	ABCA4	FFM	STGD
ENSG00000198691	24	HGNC:34	ABCA4	ARMD2	STGD1
ENSG00000198691	24	HGNC:34	ABCA4	ARMD2	ABCR
ENSG00000198691	24	HGNC:34	ABCA4	ARMD2	RP19
ENSG00000198691	24	HGNC:34	ABCA4	ARMD2	STGD
ENSG00000198691	24	HGNC:34	ABCA4	CORD3	STGD1
ENSG00000198691	24	HGNC:34	ABCA4	CORD3	ABCR
ENSG00000198691	24	HGNC:34	ABCA4	CORD3	RP19
ENSG00000198691	24	HGNC:34	ABCA4	CORD3	STGD
ENSG00000154265	23461	HGNC:35	ABCA5	EST90625	
ENSG00000154262	23460	HGNC:36	ABCA6	EST155051	
ENSG00000064687	10347	HGNC:37	ABCA7	ABCX	
